CNES - Equipes de Saúde - Brasil
Quantidade por Município e Ano/mês compet.
Período:2023
"Município";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez"
"150747 SAO JOAO DE PIRABAS";22;22;22;22;23;23;23;23;23;23;23;25
"150750 SAO JOAO DO ARAGUAIA";12;12;12;12;12;12;12;12;12;12;12;12
"150760 SAO MIGUEL DO GUAMA";27;27;27;28;28;28;28;28;28;28;28;28
"150770 SAO SEBASTIAO DA BOA VISTA";10;10;10;11;11;11;11;11;12;12;13;13
"150775 SAPUCAIA";5;5;5;5;5;5;6;6;6;6;6;6
"150780 SENADOR JOSE PORFIRIO";9;9;9;9;9;9;9;9;9;9;9;9
"150790 SOURE";10;10;10;10;10;10;10;10;10;10;10;10
"150795 TAILANDIA";21;21;21;21;21;21;21;21;21;21;21;21
"150796 TERRA ALTA";12;12;12;12;12;12;12;12;12;12;12;12
"150797 TERRA SANTA";13;13;13;13;13;13;13;13;13;13;12;12
"150800 TOME-ACU";29;29;29;29;29;31;31;30;31;29;29;29
"150803 TRACUATEUA";25;25;25;25;25;26;26;26;26;26;26;27
"150805 TRAIRAO";10;10;10;11;11;11;11;11;10;10;10;10
"150808 TUCUMA";25;25;25;25;25;25;25;25;25;25;25;25
"150810 TUCURUI";35;35;35;35;35;35;35;37;40;40;40;40
"150812 ULIANOPOLIS";22;22;22;22;22;22;22;22;22;23;23;23
"150815 URUARA";18;18;18;18;18;18;18;18;18;18;18;18
"150820 VIGIA";25;27;27;27;27;28;28;29;29;29;29;29
"150830 VISEU";36;36;36;24;36;36;36;40;40;40;40;40
"150835 VITORIA DO XINGU";13;13;13;15;15;18;18;18;18;18;18;18
"150840 XINGUARA";30;30;30;30;30;30;30;30;30;30;30;30
"160005 SERRA DO NAVIO";5;6;6;6;6;7;7;7;7;7;7;7
"160010 AMAPA";7;7;7;7;7;7;7;7;7;7;7;7
"160015 PEDRA BRANCA DO AMAPARI";11;11;11;11;11;10;10;10;10;10;11;11
"160020 CALCOENE";9;9;9;9;9;9;9;9;11;11;11;11
"160021 CUTIAS";4;4;4;4;4;5;5;5;5;5;5;5
"160023 FERREIRA GOMES";9;9;9;9;9;9;9;9;9;9;9;9
"160025 ITAUBAL";8;8;8;8;8;8;8;8;8;8;8;8
"160027 LARANJAL DO JARI";37;37;38;38;38;38;38;38;38;38;38;38
"160030 MACAPA";168;168;168;171;180;192;194;214;225;225;228;228
"160040 MAZAGAO";19;19;19;19;19;19;19;19;19;19;19;19
"160050 OIAPOQUE";14;14;14;14;14;15;15;15;15;15;15;15
"160053 PORTO GRANDE";16;16;16;15;16;16;16;16;18;19;19;19
"160055 PRACUUBA";7;7;7;7;7;7;7;7;7;7;7;7
"160060 SANTANA";51;51;51;51;51;53;53;53;53;59;59;59
"160070 TARTARUGALZINHO";14;14;14;14;18;20;21;21;21;21;21;21
"160080 VITORIA DO JARI";17;17;17;17;17;17;17;17;17;17;17;17
"170025 ABREULANDIA";3;3;3;3;3;3;3;3;3;3;3;3
"170030 AGUIARNOPOLIS";4;4;4;4;4;4;4;4;4;4;4;4
"170035 ALIANCA DO TOCANTINS";5;5;5;5;5;5;5;5;5;5;5;5
"170040 ALMAS";6;6;6;6;6;6;6;6;6;6;6;6
"170070 ALVORADA";8;8;8;8;8;8;8;8;8;8;8;8
